name,total_s,count,avg_ms
pre_sort_vehicles,0.004356967,1000,0.004
update_perception,0.491375908,1000,0.491
update_analytics,0.069154493,1000,0.069
check_collisions,0.254838239,1000,0.255
handle_collision_events,0.004394760,1000,0.004
log_step,0.015021057,1000,0.015
driver_update_speeding_state,0.145559121,20000,0.007
vehicle_update_internal_state,0.179902691,20000,0.009
update_vehicle_physics,0.523704324,20000,0.026
step_physics,0.029233418,1000,0.029
